origin,destination,sexo,flow
0310404,0301406,mujer,63.79774999999999
4601705,4625005,hombre,26.816999999999997
46199,4625016,hombre,65.563
03140,0300905,mujer,10.05275
0301401,03048,mujer,14.001249999999999
0300903,0300902,mujer,1399.20725
46181,46113,mujer,245.9735
46113,46055_AM,mujer,82.4555
1213501,4622003_AD,hombre,3.439
46102,4623501,hombre,30.896499999999996
4625004,46085,mujer,49.42625
46035,4625001,hombre,82.79575000000001
46032,4625001,mujer,223.0685
1200903,1204004,mujer,1433.9635000000003
12140_AM,4625016,hombre,8.07275
12124,1208402,mujer,85.15724999999999
46054,4625011,mujer,160.30675
4620402,1204007,mujer,8.915750000000001
4601705,4624401,hombre,7.3870000000000005
4625001,4601704,hombre,56.66799999999999
4615901,4625009,hombre,165.063
46118_AM,4601902,hombre,14.80025
4624403,4625012,hombre,179.87175000000005
46109,4625011,hombre,105.22449999999999
46213,46169,hombre,26.906750000000002
03069,0305002,hombre,27.16225
4622003_AD,12140_AM,hombre,23.660249999999998
03093,0306605,mujer,110.88925000000002
1204005,1213501,mujer,106.2445
46165,4625016,mujer,77.50049999999999
46109,4624404,hombre,271.23675000000003
03005_AM,03109,hombre,168.82375000000002
03005_AM,0313303,hombre,57.89900000000001
46233,4625009,mujer,29.90575
46260,46223,hombre,3.09
4625011,12011_AM,hombre,50.97875
46169,4600503,mujer,109.51875
4618403,4618402,mujer,8331.4315
4600503,46186,hombre,41.17125
0309905,0301401,hombre,30.161250000000003
0301406,0311902,mujer,802.5162500000002
4625016,46228,hombre,28.678249999999995
46157,4625019,hombre,2.81625
1212601,4622007,hombre,48.99850000000001
1204008,12011_AM,hombre,50.0955
4625003,4625014,mujer,848.2857499999999
4622007,1208202,hombre,12.32575
4600502,4601902,mujer,7.78325
1204004,1207701,mujer,27.25625
46257,46190,hombre,22.780499999999996
0313302,0313302,mujer,9493.884999999998
4623803,46205,mujer,3.0
4624802,46093,mujer,11.75
0305901,0301408,mujer,42.9195
03138,0308203,mujer,75.31174999999999
0310202,4613103,mujer,14.42425
1200903,4600502,mujer,2.25
4625012,1213504,mujer,6.01325
46094,46178,mujer,16.671750000000003
1203201,4614702,mujer,4.0
46037_AM,46055_AM,mujer,324.54150000000004
4607001,46258,mujer,7.062000000000001
4623802,4601701,mujer,4.47725
0305301,03043,mujer,54.75
0301904,0309908,mujer,13.57725
0303104,03128,mujer,16.5
46168_AM,4613106,mujer,88.53325000000001
1203201,1204008,mujer,148.8105
46903,03042,mujer,1.5
46168_AM,46255_AM,mujer,57.1455
46007_AM,46109,mujer,45.759750000000004
4622005_AD,46094,mujer,26.015
46025,46199,mujer,13.25
0313903,46230,mujer,2.106
46903,4615902,mujer,32.676
1213504,1208402,mujer,698.889
03012,0311301,mujer,1057.81575
46172,4625006,mujer,34.974
46177_AM,46260,mujer,128.959
03074_AM,03005_AM,mujer,518.0475
0313303,03058,mujer,31.837000000000003
46199,46074,mujer,27.789749999999998
03109,03058,mujer,173.40825
4615903,46223,mujer,37.26375
