origin,destination,sexo,flow
46127_AM,4618402,mujer,3.0
0309001,0305002,mujer,295.978
4625011,46009,mujer,64.365
46218_AM,4613103,mujer,219.378
0304102,4623803,mujer,2.0
46203_AM,46016_AM,mujer,609.996
03088,0307901,hombre,6.0
4600503,4600503,hombre,266.753
1208201,1203204,hombre,163.905
46113,4613106,hombre,157.0
46150_AM,46113,hombre,18.0
4625018,46106_AM,hombre,7.0
1203205,1200903,hombre,176.075
03055,0300905,hombre,3.0
0301404,03023_AM,hombre,17.197000000000003
0306502,0309001,hombre,10.78
46166,4620402,hombre,62.043
03035_AM,03095,hombre,10.0
0301401,0309001,hombre,206.89900000000003
0303102,0301803,hombre,432.597
1208202,1204006,hombre,123.61
46089_AM,4625003,mujer,13.538
0301404,0312202,hombre,776.854
4625014,46190,mujer,212.43300000000008
03118,03118,mujer,2108.8239999999996
46181,03101,mujer,202.52299999999997
4625002,4625007,hombre,1045.813
4615903,4625004,hombre,309.631
0301405,0305002,mujer,159.298
4625011,4625019,mujer,936.4150000000001
4615903,46094,mujer,16.915
0308203,0306304,mujer,411.94100000000003
46183,4618403,hombre,208.74599999999998
0306507,0305902,mujer,503.798
46082,46082,hombre,1595.6789999999999
0309908,03093,mujer,14.309000000000001
03058,03012,mujer,53.977000000000004
0309908,03088,mujer,8.0
1213504,1207701,mujer,102.33500000000001
